Country,Capital
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Male
Mali,Bamako
Malta,Valletta
Marshall Islands,Majuro
Martinique,Fort-de-France
Mauritania,Nouakchott
Mauritius,Port Louis
Mayotte,Mamoudzou
Mexico,Ciudad de México (Mexico City)
Micronesia (Fed. States of),Palikir
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Montserrat,Brades Estate
Morocco,Rabat
Mozambique,Maputo
Myanmar,Nay Pyi Taw
Namibia,Windhoek
Nauru,Nauru
Nepal,Kathmandu
Netherlands,Amsterdam
Netherlands,s-Gravenhage (The Hague)
New Caledonia,Nouméa
New Zealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Niue,Alofi
Northern Mariana Islands,Saipan
Norway,Oslo
Oman,Masqat (Muscat)
Pakistan,Islamabad
Palau,Koror
Panama,Ciudad de Panamá (Panama City)
Papua New Guinea,Port Moresby
Paraguay,Asunción
Peru,Lima
Philippines,Manila
Poland,Warszawa (Warsaw)
Portugal,Lisboa (Lisbon)
Puerto Rico,San Juan
Qatar,Ad-Dawhah (Doha)
Republic of Korea,Seoul
Republic of Moldova,Chişinău
Réunion,Saint-Denis
Romania,Bucuresti (Bucharest)
Russian Federation,Moskva (Moscow)
Rwanda,Kigali
Saint Helena,Jamestown
Saint Kitts and Nevis,Basseterre
Saint Lucia,Castries
Saint Pierre and Miquelon,Saint-Pierre
Saint Vincent and the Grenadines,Kingstown
Samoa,Apia
San Marino,San Marino
Sao Tome and Principe,São Tomé
Saudi Arabia,Ar-Riyadh (Riyadh)
Senegal,Dakar
Serbia,Beograd (Belgrade)
Seychelles,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Sint Maarten (Dutch part),Philipsburg
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Muqdisho (Mogadishu)
South Africa,Bloemfontein
South Africa,Cape Town
South Africa,Pretoria
South Sudan,Juba
Spain,Madrid
Sri Lanka,Colombo
Sri Lanka,Sri Jayewardenepura Kotte
State of Palestine,Al-Quds[East Jerusalem]
Sudan,Al-Khartum (Khartoum)
Suriname,Paramaribo
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Syrian Arab Republic,Dimashq (Damascus)
Tajikistan,Dushanbe
TFYR Macedonia,Skopje
Thailand,Krung Thep (Bangkok)
Timor-Leste,Dili
Togo,Lomé
Tokelau,Tokelau
Tonga,Nuku'alofa
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Turks and Caicos Islands,Cockburn Town
Tuvalu,Funafuti
Uganda,Kampala
Ukraine,Kyiv (Kiev)
United Arab Emirates,Abu Zaby (Abu Dhabi)
United Kingdom,London
United Republic of Tanzania,Dodoma
United States of America,"Washington, D.C."
United States Virgin Islands,Charlotte Amalie
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
Venezuela (Bolivarian Republic of),Caracas
Viet Nam,Hà Noi
Wallis and Futuna Islands,Matu-Utu
Western Sahara,El Aaiún
Yemen,Sana'a'
Zambia,Lusaka
Zimbabwe,Harare
